,Pais,Data,Decklist,Evento,Formato,Heroi,Resultado,Link do deck,Tipo de evento,Classe,Talento,Idade
0,Canada,05 Mar 2026,"Yuki Lee Bender – Teklovossen, Esteemed Magnate – Masterclass",Masterclass,Classic Constructed,"Teklovossen, Esteemed Magnate",nao informado,https://fabtcg.com/decklists/yuki-lee-bender-teklovossen-esteemed-magnate-masterclass/,masterclass,['Mechanologist'],['nenhum'],['Adult']
1,United States of America,01 Mar 2026,Brodie Spurlock – Briar – Sunday Showdown: Montréal,Sunday Showdown: Montréal,Silver Age,Briar,1st,https://fabtcg.com/decklists/brodie-spurlock-briar-world-tour-montreal-sunday-showdown/,sunday showdown,['Runeblade'],['Elemental'],['Young']
2,Canada,01 Mar 2026,Vincent Henault – Briar – Sunday Showdown: Montréal,Sunday Showdown: Montréal,Silver Age,Briar,2nd,https://fabtcg.com/decklists/vincent-henault-briar-world-tour-montreal-sunday-showdown/,sunday showdown,['Runeblade'],['Elemental'],['Young']
3,Canada,01 Mar 2026,Henry Rebellati-Mitnick – Lexi – Sunday Showdown: Montréal,Sunday Showdown: Montréal,Silver Age,Lexi,3rd,https://fabtcg.com/decklists/henry-rebellati-mitnick-lexi-world-tour-montreal-sunday-showdown/,sunday showdown,['Ranger'],['Elemental'],['Young']
4,Canada,01 Mar 2026,Mat Himmelman – Oldhim – Sunday Showdown: Montréal,Sunday Showdown: Montréal,Silver Age,Oldhim,3rd,https://fabtcg.com/decklists/mat-himmelman-oldhim-world-tour-montreal-sunday-showdown/,sunday showdown,['Guardian'],['Elemental'],['Young']
5,United States of America,01 Mar 2026,Michael Feng – Briar – Sunday Showdown: Montréal,Sunday Showdown: Montréal,Silver Age,Briar,5th,https://fabtcg.com/decklists/michael-feng-briar-world-tour-montreal-sunday-showdown/,sunday showdown,['Runeblade'],['Elemental'],['Young']
6,Canada,01 Mar 2026,Daniel Dreisziger – Kayo – Sunday Showdown: Montréal,Sunday Showdown: Montréal,Silver Age,Kayo,5th,https://fabtcg.com/decklists/daniel-dreisziger-kayo-world-tour-montreal-sunday-showdown/,sunday showdown,['Brute'],['nenhum'],['Young']
7,United States of America,01 Mar 2026,Adam Kershaw – Kayo – Sunday Showdown: Montréal,Sunday Showdown: Montréal,Silver Age,Kayo,5th,https://fabtcg.com/decklists/adam-kershaw-kayo-world-tour-montreal-sunday-showdown/,sunday showdown,['Brute'],['nenhum'],['Young']
8,Canada,01 Mar 2026,Bobby Bourque – Lexi – Sunday Showdown: Montréal,Sunday Showdown: Montréal,Silver Age,Lexi,5th,https://fabtcg.com/decklists/bobby-bourque-lexi-world-tour-montreal-sunday-showdown/,sunday showdown,['Ranger'],['Elemental'],['Young']
9,United States of America,28 Feb 2026,Connor Bryant – Dash I/O – Calling: Montréal,Calling: Montréal,Classic Constructed,Dash I/O,1st,https://fabtcg.com/decklists/connor-bryant-dash-io-calling-montreal-2026/,calling,['Mechanologist'],['nenhum'],['Adult']
